省份,流入人次,流出人次,内部流动人次,行政地理分区,GDP,GDP增速,人均可支配收入,总人口
西藏自治区,15543,29667,518929,西南,1902.74,7.8,21744.0,364.8
北京市,55507,1109,2,华北,36102.6,1.2,69434.0,2189.3
辽宁省,239272,773623,2207806,东北,25115.0,0.6,32738.0,4259.1
浙江省,488617,770677,5910976,华东,64613.0,3.6,52397.0,6456.8
广西壮族自治区,165728,12629,38914,华南,22156.69,3.7,24562.0,5012.7
海南省,42608,17886,500617,华南,5532.39,3.5,27904.0,1008.1
重庆市,224305,11493,16265,西南,25002.79,3.9,30824.0,3205.4
香港特别行政区,5435,0,0,华南,,,,
河北省,157311,16101,1,华北,36206.9,3.9,27136.0,7461.0
福建省,167044,30520,117765,华东,43903.89,3.3,37202.0,4154.0
湖南省,217474,87802,105206,华中,41781.49,3.8,29380.0,6644.5
宁夏回族自治区,55243,135521,582344,西北,3920.55,3.9,25735.0,720.3
台湾省,374,0,0,华东,,,,
陕西省,190456,214820,927532,西北,26181.86,2.2,26226.0,3952.9
澳门特别行政区,29,0,0,华南,,,,
山西省,169476,11968,65726,华北,17651.93,3.6,25214.0,3491.6
内蒙古自治区,152084,46490,109173,华北,17359.8,0.2,31497.0,2404.9
甘肃省,187860,150758,600229,西北,9016.7,3.9,20335.0,2502.0
贵州省,104953,539191,1772617,西南,17826.56,4.5,21795.0,3856.2
湖北省,100509,347079,563480,华中,43443.46,-5.0,27881.0,5775.3
四川省,188651,464251,1799967,西南,48598.8,3.8,26522.0,8367.5
天津市,7254,0,0,华北,14083.73,1.5,43854.0,1386.6
黑龙江省,283188,194954,335747,东北,13698.5,1.0,24902.0,3185.0
广东省,256974,163301,1014840,华南,110760.94,2.3,41029.0,12601.3
山东省,310136,131349,611083,华东,73129.0,3.6,32886.0,10152.7
新疆维吾尔自治区,32924,41431,973531,西北,13797.58,3.4,23845.0,2585.2
河南省,151096,162512,247819,华中,54997.07,1.3,24810.0,9936.6
吉林省,291978,120867,335879,东北,12311.32,2.4,31497.0,2407.3
上海市,501141,48503,8,华东,38700.58,1.7,72232.0,2487.1
青海省,32129,14560,72437,西北,3005.92,1.5,24037.0,592.4
江西省,174218,21603,118582,华东,25691.5,3.8,28017.0,4518.9
安徽省,366857,97585,195067,华东,38680.6,3.9,28103.0,6102.7
江苏省,441634,1235799,5840772,华东,102719.0,3.7,43390.0,8474.8
云南省,120582,4541,28,西南,24521.9,4.0,23295.0,4720.9
