id,累计确诊,累计确诊新增,目前感染人数,目前感染人数新增,日期,年月,日,省份
1,5,5,5,5,20200120,202001,20,北京市
2,10,5,10,5,20200121,202001,21,北京市
3,14,4,14,4,20200122,202001,22,北京市
4,26,12,26,12,20200123,202001,23,北京市
5,36,10,36,10,20200124,202001,24,北京市
6,51,15,49,13,20200125,202001,25,北京市
7,68,17,66,17,20200126,202001,26,北京市
8,80,12,77,11,20200127,202001,27,北京市
9,102,22,97,20,20200128,202001,28,北京市
10,114,12,109,12,20200129,202001,29,北京市
11,132,18,126,17,20200130,202001,30,北京市
12,156,24,150,24,20200131,202001,31,北京市
13,183,27,173,23,20200201,202002,1,北京市
14,212,29,199,26,20200202,202002,2,北京市
15,228,16,204,5,20200203,202002,3,北京市
16,253,25,228,24,20200204,202002,4,北京市
17,274,21,242,14,20200205,202002,5,北京市
18,297,23,263,21,20200206,202002,6,北京市
19,315,18,279,16,20200207,202002,7,北京市
20,326,11,287,8,20200208,202002,8,北京市
21,337,11,291,4,20200209,202002,9,北京市
22,342,5,291,0,20200210,202002,10,北京市
23,352,10,293,2,20200211,202002,11,北京市
24,366,14,295,2,20200212,202002,12,北京市
25,372,6,290,-5,20200213,202002,13,北京市
26,375,3,274,-16,20200214,202002,14,北京市
27,380,5,271,-3,20200215,202002,15,北京市
28,381,1,263,-8,20200216,202002,16,北京市
29,387,6,261,-2,20200217,202002,17,北京市
30,393,6,244,-17,20200218,202002,18,北京市
31,395,2,238,-6,20200219,202002,19,北京市
32,396,1,223,-15,20200220,202002,20,北京市
33,399,3,217,-6,20200221,202002,21,北京市
34,399,0,206,-11,20200222,202002,22,北京市
35,399,0,197,-9,20200223,202002,23,北京市
36,400,1,181,-16,20200224,202002,24,北京市
37,400,0,161,-20,20200225,202002,25,北京市
38,410,10,157,-4,20200226,202002,26,北京市
39,410,0,146,-11,20200227,202002,27,北京市
40,410,0,146,0,20200228,202002,28,北京市
41,413,3,129,-17,20200229,202002,29,北京市
42,414,1,124,-5,20200301,202003,1,北京市
43,414,0,118,-6,20200302,202003,2,北京市
44,417,3,115,-3,20200303,202003,3,北京市
45,418,1,113,-2,20200304,202003,4,北京市
46,422,4,116,3,20200305,202003,5,北京市
47,426,4,115,-1,20200306,202003,6,北京市
48,428,2,112,-3,20200307,202003,7,北京市
49,428,0,105,-7,20200308,202003,8,北京市
50,429,1,101,-4,20200309,202003,9,北京市
51,435,6,101,0,20200310,202003,10,北京市
52,435,0,93,-8,20200311,202003,11,北京市
53,436,1,86,-7,20200312,202003,12,北京市
54,437,1,80,-6,20200313,202003,13,北京市
55,442,5,81,1,20200314,202003,14,北京市
56,446,4,80,-1,20200315,202003,15,北京市
57,455,9,79,-1,20200316,202003,16,北京市
58,458,3,77,-2,20200317,202003,17,北京市
59,479,21,92,15,20200318,202003,18,北京市
60,485,6,93,1,20200319,202003,19,北京市
61,499,14,99,6,20200320,202003,20,北京市
62,512,13,106,7,20200321,202003,21,北京市
63,522,10,114,8,20200322,202003,22,北京市
64,554,32,145,31,20200323,202003,23,北京市
65,559,5,150,5,20200324,202003,24,北京市
66,565,6,154,4,20200325,202003,25,北京市
67,569,4,155,1,20200326,202003,26,北京市
68,572,3,155,0,20200327,202003,27,北京市
69,576,4,157,2,20200328,202003,28,北京市
70,577,1,157,0,20200329,202003,29,北京市
71,580,3,156,-1,20200330,202003,30,北京市
72,580,0,154,-2,20200331,202003,31,北京市
73,582,2,150,-4,20200401,202004,1,北京市
74,583,1,141,-9,20200402,202004,2,北京市
75,585,2,139,-2,20200403,202004,3,北京市
76,586,1,137,-2,20200404,202004,4,北京市
77,587,1,136,-1,20200405,202004,5,北京市
78,587,0,131,-5,20200406,202004,6,北京市
79,588,1,125,-6,20200407,202004,7,北京市
80,588,0,116,-9,20200408,202004,8,北京市
81,588,0,111,-5,20200409,202004,9,北京市
82,589,1,107,-4,20200410,202004,10,北京市
83,589,0,102,-5,20200411,202004,11,北京市
84,589,0,97,-5,20200412,202004,12,北京市
85,589,0,90,-7,20200413,202004,13,北京市
86,590,1,87,-3,20200414,202004,14,北京市
87,593,3,82,-5,20200415,202004,15,北京市
88,593,0,76,-6,20200416,202004,16,北京市
89,593,0,76,0,20200417,202004,17,北京市
90,593,0,75,-1,20200418,202004,18,北京市
91,593,0,71,-4,20200419,202004,19,北京市
92,593,0,69,-2,20200420,202004,20,北京市
93,593,0,67,-2,20200421,202004,21,北京市
94,593,0,63,-4,20200422,202004,22,北京市
95,593,0,61,-2,20200423,202004,23,北京市
96,593,0,60,-1,20200424,202004,24,北京市
97,593,0,60,0,20200425,202004,25,北京市
98,593,0,59,-1,20200426,202004,26,北京市
99,593,0,48,-11,20200427,202004,27,北京市
100,593,0,46,-2,20200428,202004,28,北京市
101,593,0,42,-4,20200429,202004,29,北京市
102,593,0,37,-5,20200430,202004,30,北京市
103,593,0,37,0,20200501,202005,1,北京市
104,593,0,33,-4,20200502,202005,2,北京市
105,593,0,31,-2,20200503,202005,3,北京市
106,593,0,30,-1,20200504,202005,4,北京市
107,593,0,29,-1,20200505,202005,5,北京市
108,593,0,27,-2,20200506,202005,6,北京市
109,593,0,24,-3,20200507,202005,7,北京市
110,593,0,21,-3,20200508,202005,8,北京市
111,593,0,19,-2,20200509,202005,9,北京市
112,593,0,16,-3,20200510,202005,10,北京市
113,593,0,13,-3,20200511,202005,11,北京市
114,593,0,11,-2,20200512,202005,12,北京市
115,593,0,10,-1,20200513,202005,13,北京市
116,593,0,10,0,20200514,202005,14,北京市
117,593,0,8,-2,20200515,202005,15,北京市
118,593,0,7,-1,20200516,202005,16,北京市
119,593,0,6,-1,20200517,202005,17,北京市
120,593,0,6,0,20200518,202005,18,北京市
121,593,0,6,0,20200519,202005,19,北京市
122,593,0,5,-1,20200520,202005,20,北京市
123,593,0,5,0,20200521,202005,21,北京市
124,593,0,5,0,20200522,202005,22,北京市
125,593,0,3,-2,20200523,202005,23,北京市
126,593,0,3,0,20200524,202005,24,北京市
127,593,0,3,0,20200525,202005,25,北京市
128,593,0,3,0,20200526,202005,26,北京市
129,593,0,3,0,20200527,202005,27,北京市
130,593,0,3,0,20200528,202005,28,北京市
131,593,0,3,0,20200529,202005,29,北京市
132,593,0,3,0,20200530,202005,30,北京市
133,593,0,3,0,20200531,202005,31,北京市
134,593,0,3,0,20200601,202006,1,北京市
135,594,1,3,0,20200602,202006,2,北京市
136,594,0,2,-1,20200603,202006,3,北京市
137,594,0,2,0,20200604,202006,4,北京市
138,594,0,2,0,20200605,202006,5,北京市
139,594,0,2,0,20200606,202006,6,北京市
140,594,0,2,0,20200607,202006,7,北京市
141,594,0,1,-1,20200608,202006,8,北京市
142,594,0,1,0,20200609,202006,9,北京市
143,594,0,1,0,20200610,202006,10,北京市
144,595,1,2,1,20200611,202006,11,北京市
145,601,6,8,6,20200612,202006,12,北京市
146,637,36,44,36,20200613,202006,13,北京市
147,673,36,80,36,20200614,202006,14,北京市
148,700,27,107,27,20200615,202006,15,北京市
149,731,31,138,31,20200616,202006,16,北京市
150,752,21,159,21,20200617,202006,17,北京市
151,777,25,184,25,20200618,202006,18,北京市
152,799,22,206,22,20200619,202006,19,北京市
153,821,22,228,22,20200620,202006,20,北京市
154,830,9,237,9,20200621,202006,21,北京市
155,843,13,250,13,20200622,202006,22,北京市
